iteration,t,algo,divided,critical_nodes
0,0,none,False,0.0
0,0,RND,True,0.0
0,0,MIRW,True,0.0
0,0,FFD,True,0.0
0,0,KMeans,True,1.0
0,100,none,False,0.0
0,100,RND,True,0.0
0,100,MIRW,True,0.0
0,100,FFD,True,0.0
0,100,KMeans,True,0.0
0,200,none,False,0.0
0,200,RND,True,0.0
0,200,MIRW,True,0.0
0,200,FFD,True,0.0
0,200,KMeans,True,0.0
0,300,none,False,0.0
0,300,RND,True,0.0
0,300,MIRW,True,0.0
0,300,FFD,True,0.0
0,300,KMeans,True,0.0
0,400,none,False,0.0
0,400,RND,True,0.0
0,400,MIRW,True,0.0
0,400,FFD,True,0.0
0,400,KMeans,True,0.0
0,500,none,False,0.0
0,500,RND,True,0.0
0,500,MIRW,True,0.0
0,500,FFD,True,0.0
0,500,KMeans,True,0.0
0,600,none,False,0.0
0,600,RND,True,0.0
0,600,MIRW,True,0.0
0,600,FFD,True,0.0
0,600,KMeans,True,0.0
0,700,none,False,0.0
0,700,RND,True,0.0
0,700,MIRW,True,0.0
0,700,FFD,True,0.0
0,700,KMeans,True,0.0
0,800,none,False,0.0
0,800,RND,True,0.0
0,800,MIRW,True,0.0
0,800,FFD,True,0.0
0,800,KMeans,True,0.0
0,900,none,False,0.0
0,900,RND,True,0.0
0,900,MIRW,True,0.0
0,900,FFD,True,0.0
0,900,KMeans,True,0.0
0,1000,none,False,0.0
0,1000,RND,True,0.0
0,1000,MIRW,True,0.0
0,1000,FFD,True,0.0
0,1000,KMeans,True,0.0
0,1100,none,False,0.0
0,1100,RND,True,0.0
0,1100,MIRW,True,0.0
0,1100,FFD,True,0.0
0,1100,KMeans,True,0.0
0,1200,none,False,0.0
0,1200,RND,True,0.0
0,1200,MIRW,True,0.0
0,1200,FFD,True,0.0
0,1200,KMeans,True,1.0
0,1300,none,False,0.0
0,1300,RND,True,0.0
0,1300,MIRW,True,0.0
0,1300,FFD,True,0.0
0,1300,KMeans,True,0.0
0,1400,none,False,0.0
0,1400,RND,True,0.0
0,1400,MIRW,True,0.0
0,1400,FFD,True,0.0
0,1400,KMeans,True,0.0
0,1500,none,False,0.0
0,1500,RND,True,0.0
0,1500,MIRW,True,0.0
0,1500,FFD,True,0.0
0,1500,KMeans,True,0.0
0,1600,none,False,0.0
0,1600,RND,True,0.0
0,1600,MIRW,True,0.0
0,1600,FFD,True,0.0
0,1600,KMeans,True,0.0
0,1700,none,False,0.0
0,1700,RND,True,0.0
0,1700,MIRW,True,0.0
0,1700,FFD,True,0.0
0,1700,KMeans,True,0.0
0,1800,none,False,0.0
0,1800,RND,True,0.0
0,1800,MIRW,True,0.0
0,1800,FFD,True,0.0
0,1800,KMeans,True,0.0
1,0,none,False,0.0
1,0,RND,True,0.0
1,0,MIRW,True,0.0
1,0,FFD,True,0.0
1,0,KMeans,True,1.0
1,100,none,False,0.0
1,100,RND,True,0.0
1,100,MIRW,True,0.0
1,100,FFD,True,0.0
1,100,KMeans,True,0.0
1,200,none,False,0.0
1,200,RND,True,0.0
1,200,MIRW,True,0.0
1,200,FFD,True,0.0
1,200,KMeans,True,0.0
1,300,none,False,0.0
1,300,RND,True,0.0
1,300,MIRW,True,0.0
1,300,FFD,True,0.0
1,300,KMeans,True,0.0
1,400,none,False,0.0
1,400,RND,True,0.0
1,400,MIRW,True,0.0
1,400,FFD,True,0.0
1,400,KMeans,True,0.0
1,500,none,False,0.0
1,500,RND,True,0.0
1,500,MIRW,True,0.0
1,500,FFD,True,0.0
1,500,KMeans,True,0.0
1,600,none,False,0.0
1,600,RND,True,0.0
1,600,MIRW,True,0.0
1,600,FFD,True,0.0
1,600,KMeans,True,0.0
1,700,none,False,0.0
1,700,RND,True,0.0
1,700,MIRW,True,0.0
1,700,FFD,True,0.0
1,700,KMeans,True,0.0
1,800,none,False,0.0
1,800,RND,True,0.0
1,800,MIRW,True,0.0
1,800,FFD,True,0.0
1,800,KMeans,True,0.0
1,900,none,False,0.0
1,900,RND,True,0.0
1,900,MIRW,True,0.0
1,900,FFD,True,0.0
1,900,KMeans,True,0.0
1,1000,none,False,0.0
1,1000,RND,True,0.0
1,1000,MIRW,True,0.0
1,1000,FFD,True,0.0
1,1000,KMeans,True,0.0
1,1100,none,False,0.0
1,1100,RND,True,0.0
1,1100,MIRW,True,0.0
1,1100,FFD,True,0.0
1,1100,KMeans,True,0.0
1,1200,none,False,0.0
1,1200,RND,True,0.0
1,1200,MIRW,True,0.0
1,1200,FFD,True,0.0
1,1200,KMeans,True,1.0
1,1300,none,False,0.0
1,1300,RND,True,0.0
1,1300,MIRW,True,0.0
1,1300,FFD,True,0.0
1,1300,KMeans,True,0.0
1,1400,none,False,0.0
1,1400,RND,True,0.0
1,1400,MIRW,True,0.0
1,1400,FFD,True,0.0
1,1400,KMeans,True,0.0
1,1500,none,False,0.0
1,1500,RND,True,0.0
1,1500,MIRW,True,0.0
